ID,Targets
ID_ab4f1c87_sentiment_test__hausa,Tsaka-tsaki
ID_2d5d42c1_sentiment_test__hausa,Kyakkyawa
ID_f6de0381_sentiment_test__hausa,Korau
ID_adae2783_sentiment_test__hausa,Kyakkyawa
ID_5b97e301_sentiment_test__hausa,Tsaka-tsaki
ID_4ba46a40_sentiment_test__hausa,Tsaka-tsaki
ID_403eae24_sentiment_test__hausa,Korau
ID_a143530b_sentiment_test__hausa,Kyakkyawa
ID_a5fcbbbc_sentiment_test__hausa,Tsaka-tsaki
ID_cbec84fe_sentiment_test__hausa,Tsaka-tsaki
ID_59686998_sentiment_test__hausa,Kyakkyawa
ID_482aa016_sentiment_test__hausa,Tsaka-tsaki
ID_227f30f9_sentiment_test__hausa,Kyakkyawa
ID_218b3468_sentiment_test__hausa,Korau
ID_fadd8a39_sentiment_test__hausa,Korau
ID_f44b5290_sentiment_test__hausa,Tsaka-tsaki
ID_78fa085d_sentiment_test__hausa,Tsaka-tsaki
ID_304aa2f5_sentiment_test__hausa,Kyakkyawa
ID_f906a05e_sentiment_test__hausa,Kyakkyawa
ID_b091e1d4_sentiment_test__hausa,Tsaka-tsaki
ID_055ec0b2_sentiment_test__hausa,Korau
ID_336f4ec5_sentiment_test__hausa,Korau
ID_071c80ab_sentiment_test__hausa,Korau
ID_ce676b5e_sentiment_test__hausa,Korau
ID_e32270e1_sentiment_test__hausa,Korau
ID_d8cf7774_sentiment_test__hausa,Korau
ID_c72aed25_sentiment_test__hausa,Tsaka-tsaki
ID_92000713_sentiment_test__hausa,Korau
ID_998f9a9a_sentiment_test__hausa,Tsaka-tsaki
ID_e1ad1d6b_sentiment_test__hausa,Tsaka-tsaki
ID_c27d6a1f_sentiment_test__hausa,Kyakkyawa
ID_855b106a_sentiment_test__hausa,Korau
ID_05bbe7b1_sentiment_test__hausa,Tsaka-tsaki
ID_b2d80ab6_sentiment_test__hausa,Korau
ID_2a5a8336_sentiment_test__hausa,Tsaka-tsaki
ID_a07535d9_sentiment_test__hausa,Kyakkyawa
ID_3cd3281b_sentiment_test__hausa,Tsaka-tsaki
ID_9b35ba72_sentiment_test__hausa,Korau
ID_a540db97_sentiment_test__hausa,Korau
ID_226fb407_sentiment_test__hausa,Kyakkyawa
