ID,Targets
ID_85e4709e_sentiment_test__hausa,Kyakkyawa
ID_e3cd996c_sentiment_test__hausa,Korau
ID_4134727d_sentiment_test__hausa,Tsaka-tsaki
ID_f3c74c7b_sentiment_test__hausa,Tsaka-tsaki
ID_a02f39e4_sentiment_test__hausa,Tsaka-tsaki
ID_2a54a80a_sentiment_test__hausa,Tsaka-tsaki
ID_6cf9c253_sentiment_test__hausa,Tsaka-tsaki
ID_93954b30_sentiment_test__hausa,Korau
ID_1383b56a_sentiment_test__hausa,Kyakkyawa
ID_1837ba5d_sentiment_test__hausa,Kyakkyawa
ID_006f2c04_sentiment_test__hausa,Korau
ID_cf957b31_sentiment_test__hausa,Tsaka-tsaki
ID_57d1979b_sentiment_test__hausa,Korau
ID_c11386c1_sentiment_test__hausa,Kyakkyawa
ID_a95c4eda_sentiment_test__hausa,Tsaka-tsaki
ID_38a28112_sentiment_test__hausa,Tsaka-tsaki
ID_8888336b_sentiment_test__hausa,Korau
ID_16f75e55_sentiment_test__hausa,Kyakkyawa
ID_c7dc56cb_sentiment_test__hausa,Tsaka-tsaki
ID_b98063fa_sentiment_test__hausa,Kyakkyawa
ID_d5401e58_sentiment_test__hausa,Tsaka-tsaki
ID_4b6adc9c_sentiment_test__hausa,Korau
ID_405b1779_sentiment_test__hausa,Korau
ID_8510254b_sentiment_test__hausa,Tsaka-tsaki
ID_9f56765d_sentiment_test__hausa,Kyakkyawa
ID_18634de3_sentiment_test__hausa,Kyakkyawa
ID_7b906b9a_sentiment_test__hausa,Kyakkyawa
ID_fdbe9b6c_sentiment_test__hausa,Kyakkyawa
ID_e7a45cb4_sentiment_test__hausa,Tsaka-tsaki
ID_e62697f5_sentiment_test__hausa,Korau
ID_b9057caa_sentiment_test__hausa,Kyakkyawa
ID_681a9d1f_sentiment_test__hausa,Kyakkyawa
ID_efd01523_sentiment_test__hausa,Kyakkyawa
ID_885caf5c_sentiment_test__hausa,Korau
ID_a9d6ce2d_sentiment_test__hausa,Korau
ID_3458d0da_sentiment_test__hausa,Kyakkyawa
ID_817a3782_sentiment_test__hausa,Korau
ID_e7cee9ee_sentiment_test__hausa,Kyakkyawa
ID_a3123ee2_sentiment_test__hausa,Korau
ID_fbde5c73_sentiment_test__hausa,Korau
ID_a8573b5e_sentiment_test__hausa,Kyakkyawa
ID_dd5c1684_sentiment_test__hausa,Korau
ID_7f633c23_sentiment_test__hausa,Tsaka-tsaki
ID_ccd75be2_sentiment_test__hausa,Korau
ID_5b6cbf77_sentiment_test__hausa,Kyakkyawa
ID_4fca7ce4_sentiment_test__hausa,Tsaka-tsaki
ID_2f73e632_sentiment_test__hausa,Tsaka-tsaki
ID_448335eb_sentiment_test__hausa,Kyakkyawa
ID_fb3709b8_sentiment_test__hausa,Kyakkyawa
ID_6c19468d_sentiment_test__hausa,Korau
ID_381bf6ea_sentiment_test__hausa,Korau
ID_1af2b09b_sentiment_test__hausa,Tsaka-tsaki
ID_47503dde_sentiment_test__hausa,Kyakkyawa
ID_f2a85ff3_sentiment_test__hausa,Kyakkyawa
ID_0097c0a9_sentiment_test__hausa,Korau
ID_7325df36_sentiment_test__hausa,Tsaka-tsaki
ID_0af16a72_sentiment_test__hausa,Tsaka-tsaki
ID_5e5b06e1_sentiment_test__hausa,Tsaka-tsaki
ID_039c5395_sentiment_test__hausa,Tsaka-tsaki
ID_a5e55896_sentiment_test__hausa,Tsaka-tsaki
ID_b1983862_sentiment_test__hausa,Korau
ID_5199efee_sentiment_test__hausa,Tsaka-tsaki
ID_c90d4a24_sentiment_test__hausa,Tsaka-tsaki
ID_35e4690d_sentiment_test__hausa,Tsaka-tsaki
ID_3d6cc898_sentiment_test__hausa,Kyakkyawa
ID_e7e6587c_sentiment_test__hausa,Tsaka-tsaki
ID_aad19dbf_sentiment_test__hausa,Kyakkyawa
ID_094f027e_sentiment_test__hausa,Kyakkyawa
ID_d4fb37ab_sentiment_test__hausa,Kyakkyawa
ID_eb7a6010_sentiment_test__hausa,Korau
ID_e477521e_sentiment_test__hausa,Kyakkyawa
ID_b5581ce7_sentiment_test__hausa,Kyakkyawa
ID_975b6fad_sentiment_test__hausa,Korau
ID_8898bd7f_sentiment_test__hausa,Kyakkyawa
ID_173a5024_sentiment_test__hausa,Tsaka-tsaki
ID_9855e7d7_sentiment_test__hausa,Korau
ID_f9e84767_sentiment_test__hausa,Tsaka-tsaki
ID_a3c6b4f3_sentiment_test__hausa,Korau
ID_d0b661ef_sentiment_test__hausa,Kyakkyawa
ID_531a9bf0_sentiment_test__hausa,Tsaka-tsaki
ID_6188460e_sentiment_test__hausa,Kyakkyawa
ID_f515148a_sentiment_test__hausa,Korau
ID_468f8671_sentiment_test__hausa,Korau
ID_5bc7b79b_sentiment_test__hausa,Kyakkyawa
ID_b9d2738a_sentiment_test__hausa,Korau
ID_4a17dae0_sentiment_test__hausa,Tsaka-tsaki
ID_b37e82b6_sentiment_test__hausa,Kyakkyawa
ID_336702f2_sentiment_test__hausa,Kyakkyawa
ID_e6f000ee_sentiment_test__hausa,Kyakkyawa
ID_33052866_sentiment_test__hausa,Tsaka-tsaki
ID_f665b316_sentiment_test__hausa,Korau
ID_f5ab689e_sentiment_test__hausa,Tsaka-tsaki
ID_34ba7a09_sentiment_test__hausa,Kyakkyawa
ID_8267d453_sentiment_test__hausa,Kyakkyawa
ID_2b989f6d_sentiment_test__hausa,Korau
ID_6104a57f_sentiment_test__hausa,Kyakkyawa
ID_f6510b2f_sentiment_test__hausa,Tsaka-tsaki
ID_14d3268a_sentiment_test__hausa,Korau
ID_e842978a_sentiment_test__hausa,Tsaka-tsaki
ID_c3eb5891_sentiment_test__hausa,Kyakkyawa
ID_85e4709e_sentiment_test__swahili,Chanya
ID_e3cd996c_sentiment_test__swahili,Wastani
ID_4134727d_sentiment_test__swahili,Chanya
ID_f3c74c7b_sentiment_test__swahili,Wastani
ID_a02f39e4_sentiment_test__swahili,Chanya
ID_2a54a80a_sentiment_test__swahili,Hasi
ID_6cf9c253_sentiment_test__swahili,Wastani
ID_93954b30_sentiment_test__swahili,Wastani
ID_1383b56a_sentiment_test__swahili,Chanya
ID_1837ba5d_sentiment_test__swahili,Wastani
ID_006f2c04_sentiment_test__swahili,Wastani
ID_cf957b31_sentiment_test__swahili,Wastani
ID_57d1979b_sentiment_test__swahili,Wastani
ID_c11386c1_sentiment_test__swahili,Hasi
ID_a95c4eda_sentiment_test__swahili,Wastani
ID_38a28112_sentiment_test__swahili,Chanya
ID_8888336b_sentiment_test__swahili,Wastani
ID_16f75e55_sentiment_test__swahili,Wastani
ID_c7dc56cb_sentiment_test__swahili,Chanya
ID_b98063fa_sentiment_test__swahili,Chanya
ID_d5401e58_sentiment_test__swahili,Wastani
ID_4b6adc9c_sentiment_test__swahili,Wastani
ID_405b1779_sentiment_test__swahili,Wastani
ID_8510254b_sentiment_test__swahili,Hasi
ID_9f56765d_sentiment_test__swahili,Chanya
ID_18634de3_sentiment_test__swahili,Wastani
ID_7b906b9a_sentiment_test__swahili,Wastani
ID_fdbe9b6c_sentiment_test__swahili,Wastani
ID_e7a45cb4_sentiment_test__swahili,Wastani
ID_e62697f5_sentiment_test__swahili,Wastani
ID_b9057caa_sentiment_test__swahili,Wastani
ID_681a9d1f_sentiment_test__swahili,Wastani
ID_efd01523_sentiment_test__swahili,Wastani
ID_885caf5c_sentiment_test__swahili,Chanya
ID_a9d6ce2d_sentiment_test__swahili,Wastani
ID_3458d0da_sentiment_test__swahili,Chanya
ID_817a3782_sentiment_test__swahili,Chanya
ID_e7cee9ee_sentiment_test__swahili,Hasi
ID_a3123ee2_sentiment_test__swahili,Hasi
ID_fbde5c73_sentiment_test__swahili,Wastani
ID_a8573b5e_sentiment_test__swahili,Chanya
ID_dd5c1684_sentiment_test__swahili,Chanya
ID_7f633c23_sentiment_test__swahili,Wastani
ID_ccd75be2_sentiment_test__swahili,Wastani
ID_5b6cbf77_sentiment_test__swahili,Chanya
ID_4fca7ce4_sentiment_test__swahili,Wastani
ID_2f73e632_sentiment_test__swahili,Chanya
ID_448335eb_sentiment_test__swahili,Chanya
ID_fb3709b8_sentiment_test__swahili,Wastani
ID_6c19468d_sentiment_test__swahili,Chanya
ID_381bf6ea_sentiment_test__swahili,Wastani
ID_1af2b09b_sentiment_test__swahili,Chanya
ID_47503dde_sentiment_test__swahili,Hasi
ID_f2a85ff3_sentiment_test__swahili,Chanya
ID_0097c0a9_sentiment_test__swahili,Wastani
ID_7325df36_sentiment_test__swahili,Wastani
ID_0af16a72_sentiment_test__swahili,Chanya
ID_5e5b06e1_sentiment_test__swahili,Wastani
ID_039c5395_sentiment_test__swahili,Chanya
ID_a5e55896_sentiment_test__swahili,Chanya
ID_b1983862_sentiment_test__swahili,Hasi
ID_5199efee_sentiment_test__swahili,Wastani
ID_c90d4a24_sentiment_test__swahili,Hasi
ID_35e4690d_sentiment_test__swahili,Wastani
ID_3d6cc898_sentiment_test__swahili,Wastani
ID_e7e6587c_sentiment_test__swahili,Wastani
ID_aad19dbf_sentiment_test__swahili,Wastani
ID_094f027e_sentiment_test__swahili,Wastani
ID_d4fb37ab_sentiment_test__swahili,Chanya
ID_eb7a6010_sentiment_test__swahili,Wastani
ID_e477521e_sentiment_test__swahili,Wastani
ID_b5581ce7_sentiment_test__swahili,Wastani
ID_975b6fad_sentiment_test__swahili,Chanya
ID_8898bd7f_sentiment_test__swahili,Chanya
ID_173a5024_sentiment_test__swahili,Wastani
ID_9855e7d7_sentiment_test__swahili,Wastani
ID_f9e84767_sentiment_test__swahili,Wastani
ID_a3c6b4f3_sentiment_test__swahili,Hasi
ID_d0b661ef_sentiment_test__swahili,Wastani
ID_531a9bf0_sentiment_test__swahili,Wastani
ID_6188460e_sentiment_test__swahili,Chanya
ID_f515148a_sentiment_test__swahili,Chanya
ID_468f8671_sentiment_test__swahili,Wastani
ID_5bc7b79b_sentiment_test__swahili,Wastani
ID_b9d2738a_sentiment_test__swahili,Wastani
ID_4a17dae0_sentiment_test__swahili,Chanya
ID_b37e82b6_sentiment_test__swahili,Chanya
ID_336702f2_sentiment_test__swahili,Chanya
ID_e6f000ee_sentiment_test__swahili,Hasi
ID_33052866_sentiment_test__swahili,Wastani
ID_f665b316_sentiment_test__swahili,Hasi
ID_f5ab689e_sentiment_test__swahili,Wastani
ID_34ba7a09_sentiment_test__swahili,Chanya
ID_8267d453_sentiment_test__swahili,Wastani
ID_2b989f6d_sentiment_test__swahili,Wastani
ID_6104a57f_sentiment_test__swahili,Chanya
ID_f6510b2f_sentiment_test__swahili,Hasi
ID_14d3268a_sentiment_test__swahili,Wastani
ID_e842978a_sentiment_test__swahili,Chanya
ID_c3eb5891_sentiment_test__swahili,Wastani
ID_8421321d_test__mt_eng-hau,don minēnē kake lulluɓēwa gabansa?
ID_21cc5232_test__mt_eng-hau,"'na yi ritaya, ka gani,' sai ya ci gaba."
ID_4f28e457_test__mt_eng-hau,matath warayak ganna puluwan da kiyala ahanawada?
ID_290c7da3_test__mt_eng-hau,wannan shine abin da za ku iya tsammanin lokacin da kuke ziyarce mu.
ID_a726b0f1_test__mt_eng-hau,"duk da haka, melcher ba ya zauna a can; sharon tate da kuma mijinta, darekta roman polanski, ya yi hayar gidan."
