ID,targets
1_sentiment_test_private_hausa,Tsaka-tsaki
2_sentiment_test_private_hausa,Kyakkyawa
3_sentiment_test_private_hausa,Korau
4_sentiment_test_private_hausa,Kyakkyawa
5_sentiment_test_private_hausa,Tsaka-tsaki
6_sentiment_test_private_hausa,Tsaka-tsaki
7_sentiment_test_private_hausa,Korau
8_sentiment_test_private_hausa,Kyakkyawa
9_sentiment_test_private_hausa,Tsaka-tsaki
10_sentiment_test_private_hausa,Tsaka-tsaki
11_sentiment_test_private_hausa,Kyakkyawa
12_sentiment_test_private_hausa,Tsaka-tsaki
13_sentiment_test_private_hausa,Kyakkyawa
14_sentiment_test_private_hausa,Korau
15_sentiment_test_private_hausa,Korau
16_sentiment_test_private_hausa,Tsaka-tsaki
17_sentiment_test_private_hausa,Tsaka-tsaki
18_sentiment_test_private_hausa,Kyakkyawa
19_sentiment_test_private_hausa,Kyakkyawa
20_sentiment_test_private_hausa,Tsaka-tsaki
21_sentiment_test_private_hausa,Korau
22_sentiment_test_private_hausa,Korau
23_sentiment_test_private_hausa,Korau
24_sentiment_test_private_hausa,Korau
25_sentiment_test_private_hausa,Korau
26_sentiment_test_private_hausa,Korau
27_sentiment_test_private_hausa,Tsaka-tsaki
28_sentiment_test_private_hausa,Korau
29_sentiment_test_private_hausa,Tsaka-tsaki
30_sentiment_test_private_hausa,Tsaka-tsaki
31_sentiment_test_private_hausa,Kyakkyawa
32_sentiment_test_private_hausa,Korau
33_sentiment_test_private_hausa,Tsaka-tsaki
34_sentiment_test_private_hausa,Korau
35_sentiment_test_private_hausa,Tsaka-tsaki
36_sentiment_test_private_hausa,Kyakkyawa
37_sentiment_test_private_hausa,Tsaka-tsaki
38_sentiment_test_private_hausa,Korau
39_sentiment_test_private_hausa,Korau
40_sentiment_test_private_hausa,Kyakkyawa
41_sentiment_test_private_hausa,Kyakkyawa
42_sentiment_test_private_hausa,Kyakkyawa
43_sentiment_test_private_hausa,Korau
44_sentiment_test_private_hausa,Kyakkyawa
45_sentiment_test_private_hausa,Kyakkyawa
46_sentiment_test_private_hausa,Tsaka-tsaki
47_sentiment_test_private_hausa,Kyakkyawa
48_sentiment_test_private_hausa,Korau
49_sentiment_test_private_hausa,Korau
50_sentiment_test_private_hausa,Korau
1_sentiment_test_private_swahili,Wastani
2_sentiment_test_private_swahili,Wastani
3_sentiment_test_private_swahili,Wastani
4_sentiment_test_private_swahili,Wastani
5_sentiment_test_private_swahili,Wastani
6_sentiment_test_private_swahili,Hasi
7_sentiment_test_private_swahili,Wastani
8_sentiment_test_private_swahili,Wastani
9_sentiment_test_private_swahili,Wastani
10_sentiment_test_private_swahili,Chanya
11_sentiment_test_private_swahili,Chanya
12_sentiment_test_private_swahili,Wastani
13_sentiment_test_private_swahili,Chanya
14_sentiment_test_private_swahili,Hasi
15_sentiment_test_private_swahili,Wastani
16_sentiment_test_private_swahili,Chanya
17_sentiment_test_private_swahili,Chanya
18_sentiment_test_private_swahili,Chanya
19_sentiment_test_private_swahili,Wastani
20_sentiment_test_private_swahili,Chanya
21_sentiment_test_private_swahili,Wastani
22_sentiment_test_private_swahili,Chanya
23_sentiment_test_private_swahili,Wastani
24_sentiment_test_private_swahili,Wastani
25_sentiment_test_private_swahili,Wastani
26_sentiment_test_private_swahili,Chanya
27_sentiment_test_private_swahili,Wastani
28_sentiment_test_private_swahili,Chanya
29_sentiment_test_private_swahili,Chanya
30_sentiment_test_private_swahili,Wastani
31_sentiment_test_private_swahili,Wastani
32_sentiment_test_private_swahili,Wastani
33_sentiment_test_private_swahili,Chanya
34_sentiment_test_private_swahili,Chanya
35_sentiment_test_private_swahili,Wastani
36_sentiment_test_private_swahili,Wastani
37_sentiment_test_private_swahili,Wastani
