ID,targets
1_sentiment_test_public_hausa,Kyakkyawa
2_sentiment_test_public_hausa,Korau
3_sentiment_test_public_hausa,Tsaka-tsaki
4_sentiment_test_public_hausa,Tsaka-tsaki
5_sentiment_test_public_hausa,Tsaka-tsaki
6_sentiment_test_public_hausa,Tsaka-tsaki
7_sentiment_test_public_hausa,Tsaka-tsaki
8_sentiment_test_public_hausa,Korau
9_sentiment_test_public_hausa,Kyakkyawa
10_sentiment_test_public_hausa,Kyakkyawa
11_sentiment_test_public_hausa,Korau
12_sentiment_test_public_hausa,Tsaka-tsaki
13_sentiment_test_public_hausa,Korau
14_sentiment_test_public_hausa,Kyakkyawa
15_sentiment_test_public_hausa,Tsaka-tsaki
16_sentiment_test_public_hausa,Tsaka-tsaki
17_sentiment_test_public_hausa,Korau
18_sentiment_test_public_hausa,Kyakkyawa
19_sentiment_test_public_hausa,Tsaka-tsaki
20_sentiment_test_public_hausa,Kyakkyawa
21_sentiment_test_public_hausa,Tsaka-tsaki
22_sentiment_test_public_hausa,Korau
23_sentiment_test_public_hausa,Korau
24_sentiment_test_public_hausa,Tsaka-tsaki
25_sentiment_test_public_hausa,Kyakkyawa
26_sentiment_test_public_hausa,Kyakkyawa
27_sentiment_test_public_hausa,Kyakkyawa
28_sentiment_test_public_hausa,Kyakkyawa
29_sentiment_test_public_hausa,Tsaka-tsaki
30_sentiment_test_public_hausa,Korau
31_sentiment_test_public_hausa,Kyakkyawa
32_sentiment_test_public_hausa,Kyakkyawa
33_sentiment_test_public_hausa,Kyakkyawa
34_sentiment_test_public_hausa,Korau
35_sentiment_test_public_hausa,Korau
36_sentiment_test_public_hausa,Kyakkyawa
37_sentiment_test_public_hausa,Korau
38_sentiment_test_public_hausa,Kyakkyawa
39_sentiment_test_public_hausa,Korau
40_sentiment_test_public_hausa,Korau
41_sentiment_test_public_hausa,Kyakkyawa
42_sentiment_test_public_hausa,Korau
43_sentiment_test_public_hausa,Tsaka-tsaki
44_sentiment_test_public_hausa,Korau
45_sentiment_test_public_hausa,Kyakkyawa
46_sentiment_test_public_hausa,Tsaka-tsaki
47_sentiment_test_public_hausa,Tsaka-tsaki
48_sentiment_test_public_hausa,Kyakkyawa
49_sentiment_test_public_hausa,Kyakkyawa
50_sentiment_test_public_hausa,Korau
51_sentiment_test_public_hausa,Korau
52_sentiment_test_public_hausa,Tsaka-tsaki
53_sentiment_test_public_hausa,Kyakkyawa
54_sentiment_test_public_hausa,Kyakkyawa
55_sentiment_test_public_hausa,Korau
56_sentiment_test_public_hausa,Tsaka-tsaki
57_sentiment_test_public_hausa,Tsaka-tsaki
58_sentiment_test_public_hausa,Tsaka-tsaki
59_sentiment_test_public_hausa,Tsaka-tsaki
60_sentiment_test_public_hausa,Tsaka-tsaki
61_sentiment_test_public_hausa,Korau
62_sentiment_test_public_hausa,Tsaka-tsaki
63_sentiment_test_public_hausa,Tsaka-tsaki
64_sentiment_test_public_hausa,Tsaka-tsaki
65_sentiment_test_public_hausa,Kyakkyawa
66_sentiment_test_public_hausa,Tsaka-tsaki
67_sentiment_test_public_hausa,Kyakkyawa
68_sentiment_test_public_hausa,Kyakkyawa
69_sentiment_test_public_hausa,Kyakkyawa
70_sentiment_test_public_hausa,Korau
71_sentiment_test_public_hausa,Kyakkyawa
72_sentiment_test_public_hausa,Kyakkyawa
73_sentiment_test_public_hausa,Korau
74_sentiment_test_public_hausa,Kyakkyawa
75_sentiment_test_public_hausa,Tsaka-tsaki
76_sentiment_test_public_hausa,Korau
77_sentiment_test_public_hausa,Tsaka-tsaki
78_sentiment_test_public_hausa,Korau
79_sentiment_test_public_hausa,Kyakkyawa
80_sentiment_test_public_hausa,Tsaka-tsaki
81_sentiment_test_public_hausa,Kyakkyawa
82_sentiment_test_public_hausa,Korau
83_sentiment_test_public_hausa,Korau
84_sentiment_test_public_hausa,Kyakkyawa
85_sentiment_test_public_hausa,Korau
86_sentiment_test_public_hausa,Tsaka-tsaki
87_sentiment_test_public_hausa,Kyakkyawa
88_sentiment_test_public_hausa,Kyakkyawa
89_sentiment_test_public_hausa,Kyakkyawa
90_sentiment_test_public_hausa,Tsaka-tsaki
91_sentiment_test_public_hausa,Korau
92_sentiment_test_public_hausa,Tsaka-tsaki
93_sentiment_test_public_hausa,Kyakkyawa
94_sentiment_test_public_hausa,Kyakkyawa
95_sentiment_test_public_hausa,Korau
96_sentiment_test_public_hausa,Kyakkyawa
97_sentiment_test_public_hausa,Tsaka-tsaki
98_sentiment_test_public_hausa,Korau
99_sentiment_test_public_hausa,Tsaka-tsaki
100_sentiment_test_public_hausa,Kyakkyawa
1_sentiment_test_public_swahili,Chanya
2_sentiment_test_public_swahili,Wastani
3_sentiment_test_public_swahili,Chanya
4_sentiment_test_public_swahili,Wastani
5_sentiment_test_public_swahili,Chanya
6_sentiment_test_public_swahili,Hasi
7_sentiment_test_public_swahili,Wastani
8_sentiment_test_public_swahili,Wastani
9_sentiment_test_public_swahili,Chanya
10_sentiment_test_public_swahili,Wastani
11_sentiment_test_public_swahili,Wastani
12_sentiment_test_public_swahili,Wastani
13_sentiment_test_public_swahili,Wastani
